id,name,symbol,price_eur,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,max_supply,circulating_supply,infinite_supply
11419,Toncoin,TON,4.790349870678015,0.36444442,-0.5413626,-0.64531727,2024-10-24T04:58:05.000Z,,2541348533.920966,True
1,Bitcoin,BTC,62641.83550103302,0.36368473,1.68181178,1.34137264,2024-10-24T14:08:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2337.179669653082,-0.09593262,-1.79568865,-2.40579537,2024-10-24T14:08:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9247196788357868,0.01759811,-0.02496002,-0.05532521,2024-10-24T14:08:05.000Z,,120221667386.65292,True
1839,BNB,BNB,547.0968698826945,-0.08088095,1.07100305,0.0740682,2024-10-24T14:08:05.000Z,,145931278.467175,False
5426,Solana,SOL,162.31223088893577,0.61454106,4.20905223,15.79300592,2024-10-24T14:08:05.000Z,,470101272.9263125,True
3408,USDC,USDC,0.9255099536871534,0.02105589,-0.01322839,1.058e-05,2024-10-24T14:08:05.000Z,,34315464235.01665,False
52,XRP,XRP,0.4902960058110612,-0.00582311,0.4268758,-3.50085057,2024-10-24T14:08:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1316308417005295,1.92060905,1.70535404,17.54757979,2024-10-24T14:08:05.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1511914622637871,-0.14371975,2.024015,2.22471574,2024-10-24T14:08:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.777820232956593,-0.09022985,0.15219826,-0.3450623,2024-10-24T14:08:05.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62641.83550103302,0.36368473,1.68181178,1.34137264,2024-10-24T14:08:05.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2337.179669653082,-0.09593262,-1.79568865,-2.40579537,2024-10-24T14:08:05.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9247196788357868,0.01759811,-0.02496002,-0.05532521,2024-10-24T14:08:05.000Z,,120221667386.65292,True
1839,BNB,BNB,547.0968698826945,-0.08088095,1.07100305,0.0740682,2024-10-24T14:08:05.000Z,,145931278.467175,False
5426,Solana,SOL,162.31223088893577,0.61454106,4.20905223,15.79300592,2024-10-24T14:08:05.000Z,,470101272.9263125,True
3408,USDC,USDC,0.9255099536871534,0.02105589,-0.01322839,1.058e-05,2024-10-24T14:08:05.000Z,,34315464235.01665,False
52,XRP,XRP,0.4902960058110612,-0.00582311,0.4268758,-3.50085057,2024-10-24T14:08:05.000Z,100000000000.0,56706436160.0,False
74,Dogecoin,DOGE,0.1316308417005295,1.92060905,1.70535404,17.54757979,2024-10-24T14:08:05.000Z,,146501006383.70526,True
1958,TRON,TRX,0.1511914622637871,-0.14371975,2.024015,2.22471574,2024-10-24T14:08:05.000Z,,86496600841.3401,True
11419,Toncoin,TON,4.777820232956593,-0.09022985,0.15219826,-0.3450623,2024-10-24T14:08:05.000Z,,2541371625.008429,True
1,Bitcoin,BTC,62602.067267225866,0.32290669,1.64902575,1.25617729,2024-10-24T14:09:58.000Z,21000000.0,19772321.0,False
1027,Ethereum,ETH,2333.9027412979294,-0.21309464,-1.85793089,-2.60286728,2024-10-24T14:09:58.000Z,,120395817.92064533,True
825,Tether USDt,USDT,0.9247020623211556,0.00587551,-0.01407106,-0.05480295,2024-10-24T14:09:58.000Z,,120221667386.65292,True
1839,BNB,BNB,546.774212806664,-0.13864605,1.06640342,0.0227642,2024-10-24T14:09:58.000Z,,145931278.467175,False
5426,Solana,SOL,162.22357779919724,0.56408378,4.22606277,15.75308883,2024-10-24T14:09:58.000Z,,470101272.9263125,True
